ATTACK\DEFENSE,NOR,FIR,WAT,ELE,GRA,ICE,FIG,POI,GRO,FLY,PSY,BUG,ROC,GHO,DRA,DAR,STE,FAI
NORMAL,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1,1,0.5,1
FIRE,1,0.5,0.5,1,2,2,1,1,1,1,1,2,0.5,1,0.5,1,2,1
WATER,1,2,0.5,1,0.5,1,1,1,2,1,1,1,2,1,0.5,1,1,1
ELECTRIC,1,1,2,0.5,0.5,1,1,1,0,2,1,1,1,1,0.5,1,1,1
GRASS,1,0.5,2,1,0.5,1,1,0.5,2,0.5,1,0.5,2,1,0.5,1,0.5,1
ICE,1,0.5,0.5,1,2,0.5,1,1,2,2,1,1,1,1,2,1,0.5,1
FIGHTING,2,1,1,1,1,2,1,0.5,1,0.5,0.5,0.5,2,0,1,2,2,0.5
POISON,1,1,1,1,2,1,1,0.5,0.5,1,1,1,0.5,0.5,1,1,0,2
GROUND,1,2,1,2,0.5,1,1,2,1,0,1,0.5,2,1,1,1,2,1
FLYING,1,1,1,0.5,2,1,2,1,1,1,1,2,0.5,1,1,1,0.5,1
PSYCHIC,1,1,1,1,1,1,2,2,1,1,0.5,1,1,1,1,0,0.5,1
BUG,1,0.5,1,1,2,1,0.5,0.5,1,0.5,2,1,1,0.5,1,2,0.5,0.5
ROCK,1,2,1,1,1,2,0.5,1,0.5,2,1,2,1,1,1,1,0.5,1
GHOST,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0.5,1,1
DRAGON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,0
DARK,1,1,1,1,1,1,0.5,1,1,1,2,1,1,2,1,0.5,1,0.5
STEEL,1,0.5,0.5,0.5,1,2,1,1,1,1,1,1,2,1,1,1,0.5,2
FAIRY,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,2,2,0.5,1
